bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,avg_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
171090,Monopoly Junior: Disney Frozen,2014.0,,,,Hasbro,2.0,3.0,2.0,3.0,2.0,3.0,5.0,,30.0,30.0,30.0,Children's Game,Roll / Spin and Move,,,,"Brands: Disney, Game: Monopoly (Official), Game: Monopoly Junior, Movies: Frozen, Series: Monopoly Derivatives (Official)",,,24082.0,76.0,3.94868,1.72524,5.43491,1.0,,,,,,,
171107,Castle Men 4X,2015.0,,Peter Gray,,(Web published),2.0,4.0,2.0,4.0,2.0,4.0,10.0,,45.0,90.0,67.5,"Print & Play, Territory Building","Action Queue, Dice Rolling",,,,Mechanism: 4X,,,,4.0,7.0,1.87083,,3.0,,,,,,,
171110,Cosmic Run,2015.0,,"Steve Finn, Seamus Finn",Lawrence van der Merwe,Dr. Finn's Games,1.0,4.0,1.0,4.0,1.0,4.0,8.0,,30.0,30.0,30.0,"Dice, Science Fiction","Dice Rolling, Push Your Luck",,,,"Crowdfunding: Kickstarter, Game: Cosmic Run",,,4283.0,443.0,7.07484,1.13518,5.78645,1.5,,,,,,,
171112,Spy Guys,2014.0,,Tovarich Pizann,"Michael Irizarry, Jr.",Victory Point Games,3.0,6.0,3.0,6.0,3.0,6.0,8.0,,30.0,30.0,30.0,"Card Game, Spies/Secret Agents","Hand Management, Memory, Take That",,,,Admin: Better Description Needed!,,,,13.0,5.44615,1.53704,,1.5,,,,,,,
171124,Hero's Journey Home,2015.0,Thematic,Graham Cranfield,Graham Cranfield,(Self-Published),1.0,3.0,1.0,3.0,1.0,3.0,13.0,,30.0,45.0,37.5,"Adventure, Card Game, Fantasy","Dice Rolling, Hand Management, Variable Player Powers",,,,Crowdfunding: Indiegogo,,,9893.0,79.0,7.23108,1.49705,5.56524,2.5,,,,,,,
171126,Clue: Supernatural,2014.0,,,,"Hasbro, The Op",2.0,6.0,2.0,6.0,2.0,6.0,8.0,,45.0,45.0,45.0,"Deduction, Fantasy, Movies / TV / Radio theme, Murder/Mystery",Roll / Spin and Move,,,,"Game: Cluedo / Clue (Parker Brothers, et al)",,,20108.0,65.0,5.99231,1.89228,5.50079,1.25,,,,,,,
171129,Spinderella,2015.0,Children's Game,Roberto Fraga,Doris Matthäus,"Devir, Gigamic, Simba Toys, Swan Panasia Co., Ltd., Zoch Verlag",2.0,4.0,2.0,4.0,3.0,4.0,6.0,5.0,20.0,20.0,20.0,"Action / Dexterity, Animals, Children's Game","Race, Roll / Spin and Move, Three Dimensional Movement",,,,"Animals: Ants, Animals: Spiders, Components: 3-Dimensional (3D), Components: Game Box Used In Play",,,3237.0,1577.0,6.4807,1.30114,5.91507,1.1875,,,,,,,
171130,Siege Warfare,2015.0,,,"Keith Rocco, Don Troiani",(Self-Published),2.0,6.0,2.0,6.0,2.0,6.0,,,40.0,40.0,40.0,"American Civil War, Card Game, Civil War, Fighting","Hand Management, Variable Player Powers",,,,"Collectible: Collectible Card Games, Crowdfunding: Kickstarter",,,,24.0,7.72917,2.0309,,3.0,,,,,,,
171131,Captain Sonar,2016.0,"Thematic, Party Game","Roberto Fraga, Yohan Lemonnier","Ervin, Piotr Forkasiewicz, Sabrina Tobal","Matagot, Arclight Games, Asmodee, Broadway Toys LTD, Bureau de Juegos, Conclave Editora, CrowD Games, Gém Klub Kft., Lautapelit.fi, Lex Games, Pegasus Spiele, Pendragon Game Studio, Surfin' Meeple China, WoodCat",2.0,8.0,6.0,8.0,8.0,8.0,14.0,11.65625,45.0,60.0,52.5,"Deduction, Fighting, Nautical, Real-time","Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment, Simulation, Team-Based Game",,,,"Components: Dry Erase Markers / Dry Erase Surfaces, Game: Captain Sonar, Mechanism: Hidden Movement, Theme: Submarines",,,192.0,19944.0,7.52567,1.38142,7.31626,2.185,,,,,,,
171133,Cryptic Explorers,2022.0,,Maher Sagrillo,,Tempest Tome Games,2.0,4.0,2.0,4.0,2.0,4.0,14.0,,120.0,240.0,180.0,"Horror, Science Fiction","Action Points, Dice Rolling, Grid Movement, Hand Management, Player Elimination, Team-Based Game",,,,Crowdfunding: Kickstarter,,,10175.0,56.0,8.38393,1.24639,5.56135,3.0,,,,,,,
171136,Pingo Pingo,2015.0,Children's Game,Roberto Fraga,Alexey Yakovlev,"Asterion Press, Heidelberger Spieleverlag, IELLO",2.0,5.0,2.0,5.0,2.0,5.0,6.0,,15.0,15.0,15.0,"Action / Dexterity, Pirates, Real-time",,,,,Components: Compact Discs (CDs),5711,,6155.0,469.0,6.35616,1.42981,5.65827,1.3333,,,,,,,
171143,Quantum tic-tac-toe,2006.0,,Allan Goff,,(Web published),2.0,2.0,2.0,2.0,2.0,2.0,8.0,,10.0,10.0,10.0,Abstract Strategy,"Paper-and-Pencil, Pattern Building",,,,"Category: n in a row, Players: Two Player Only Games",,,,9.0,5.77778,0.628539,,1.0,,,,,,,
171197,Trans Bielefeld: Eine Spur schneller,2011.0,,Franz-Benno Delonge,Claus Stephan,Winning Moves Germany,2.0,6.0,2.0,6.0,2.0,6.0,8.0,,30.0,30.0,30.0,Trains,"Connections, Race, Score-and-Reset Game",,,,"Cities: Bielefeld (North Rhine-Westphalia, Germany), Game: Transamerica",2842,,,7.0,6.35714,1.48117,,1.0,,,,,,,
171199,Munchkin Legends Deluxe,2014.0,,"Andrew Hackard, Steve Jackson (I)","John Kovalic, Mike Luckas, Gabby Ruenes",Steve Jackson Games,3.0,6.0,3.0,6.0,3.0,6.0,10.0,,60.0,120.0,90.0,"Ancient, Card Game, Fantasy, Humor, Mythology","Dice Rolling, Hand Management, Open Drafting, Take That",,1.0,"144325,155169",Game: Munchkin,,1927,,259.0,6.49595,1.54406,5.59459,1.75,,,,,,,
171211,Muertoons,2017.0,,Jason Wittman,,Steve Jackson Games,2.0,5.0,2.0,5.0,2.0,5.0,8.0,,15.0,20.0,17.5,"Card Game, Movies / TV / Radio theme",,,,,"Admin: Better Description Needed!, Holidays: Day of the Dead",7989,,20409.0,35.0,5.47143,1.78863,5.49947,1.0,,,,,,,
171221,Kniffel Kids,2009.0,,,,"Blatz, Schmidt Spiele",2.0,6.0,2.0,6.0,2.0,6.0,5.0,,15.0,15.0,15.0,"Children's Game, Dice",Dice Rolling,,,,"Admin: Better Description Needed!, Series: Kniffel (Schmidt Spiele)",,,19305.0,45.0,5.70711,1.22656,5.50492,1.0,,,,,,,
171226,Starfighter,2015.0,Strategy Game,Stéphane Boudin,"Arnaud Demaegd, Neriac",Ystari Games,2.0,2.0,2.0,2.0,2.0,2.0,13.0,,30.0,30.0,30.0,"Card Game, Science Fiction","Hand Management, Take That",,,,"Players: Two Player Only Games, Series: Ystari originals",,,4067.0,697.0,6.6922,1.44156,5.80862,2.7931,,,,,,,
171229,Me Throw Rock,2014.0,,Jeremy Peet,Jeremy Peet,(Web published),2.0,4.0,2.0,4.0,2.0,4.0,6.0,,15.0,15.0,15.0,"Action / Dexterity, Print & Play","Area Majority / Influence, Set Collection",,,,Contests: 18 Card Microgame,,,,2.0,7.0,,,1.0,,,,,,,
171230,Word Dominoes,2014.0,,Forrest-Pruzan Creative,,Chronicle Books,3.0,10.0,3.0,10.0,3.0,10.0,14.0,,30.0,30.0,30.0,"Humor, Party Game, Word Game","Storytelling, Tile Placement, Voting",,,,Traditional Games: Dominoes,,,,11.0,6.04545,1.4215,,2.0,,,,,,,
171233,The Big Book of Madness,2015.0,Strategy Game,Maxime Rambourg,Xavier Gueniffey Durin,"IELLO, 2 Pionki, Broadway Toys LTD, Bureau de Juegos, Devir, Heidelberger Spieleverlag, Hobby Japan, Origames, Portal Games, Redbox Editora (Redbox), Reflexshop, REXhry, uplay.it edizioni",2.0,5.0,2.0,4.0,3.0,3.0,12.0,11.545454545454543,60.0,90.0,75.0,"Card Game, Fantasy","Cooperative Game, Deck, Bag, and Pool Building, Hand Management, Player Elimination, Variable Player Powers",1.0,,,Theme: Books / Libraries,,,1051.0,6557.0,6.90894,1.32641,6.55422,2.6857,,,,,,,
171234,Skulldug!,2015.0,,"Jon Gill, Brian Kopleck",Ghia Mercado,Ruddy Games,1.0,6.0,1.0,6.0,1.0,6.0,13.0,,45.0,90.0,67.5,"Adventure, Exploration, Fantasy","Action Points, Dice Rolling, Tile Placement, Variable Player Powers",,,,"Crowdfunding: Kickstarter, Digital Implementations: Tabletopia",,,10232.0,161.0,6.46047,1.39751,5.56073,2.0,,,,,,,
171258,Cabaret,2015.0,,"Patrick Dillon, Adam Whitney",,Know Chance Games,2.0,6.0,2.0,6.0,2.0,6.0,5.0,,30.0,30.0,30.0,Card Game,Trick-taking,,,,"Cities: Paris (France), Crowdfunding: Kickstarter",,,14013.0,45.0,6.74556,2.20196,5.52962,1.3333,,,,,,,
171261,Hocus,2016.0,Strategy Game,"Joshua Buergel, Grant Rodiek","JJ Ariosa, Adam P. McIver, Tiffany Turrill",Hyperbole Games,2.0,5.0,2.0,5.0,2.0,5.0,10.0,,30.0,30.0,30.0,"Card Game, Print & Play","Hand Management, Pattern Building, Variable Player Powers",,,,"Crowdfunding: Kickstarter, Digital Implementations: Tabletopia",,,5143.0,541.0,6.52029,1.45364,5.7162,2.2632,,,,,,,
171273,FUSE,2015.0,Family Game,Kane Klenko,"Hokunin, Chris Ostrowski, Sean Thurlow","Renegade Game Studios, 2 Pionki, Banana Games, Portal Games, REXhry",1.0,5.0,1.0,5.0,4.0,4.0,10.0,8.205882352941176,10.0,10.0,10.0,"Action / Dexterity, Dice, Real-time, Science Fiction","Cooperative Game, Dice Rolling, Die Icon Resolution, Elapsed Real Time Ending, Open Drafting, Pattern Building, Real-Time, Solo / Solitaire Game",1.0,,,"Players: Games with Solitaire Rules, Series: Madison Game Design Cabal, Setting: FUSE",,369993,797.0,8392.0,7.01604,1.22869,6.71155,1.6564,,,,,,,
171278,Victory Roads,2015.0,War Game,Nicolas Rident,"Christophe Gentil-Perret, Yves le Quellec",Hexasim,2.0,2.0,2.0,2.0,2.0,2.0,12.0,,120.0,1440.0,780.0,"Wargame, World War II","Dice Rolling, Hexagon Grid, Simulation",,,,"Country: Belarus, Country: Germany, Country: Hungary, Country: Poland, Country: Romania, Country: Russia, Country: Ukraine, History: World War II (Eastern Front), Players: Two Player Only Games, Series: Roads through WWII (Hexasim)",,,5812.0,159.0,8.09434,1.42057,5.67505,3.5,,,,,,,
171314,Golf: A game of Mathing through Hazards,2014.0,,,,"(Web published), Hungry Badger Games LLC",2.0,7.0,2.0,7.0,2.0,7.0,8.0,,30.0,30.0,30.0,"Educational, Math",Pattern Recognition,,,,,,,,1.0,8.0,,,2.0,,,,,,,
171320,Supertrump,2015.0,,Craig Duncan,,(Self-Published),2.0,2.0,2.0,2.0,2.0,2.0,8.0,,15.0,15.0,15.0,Card Game,Trick-taking,,,,"Components: Traditional Playing Cards, Players: Two Player Only Games",,,,6.0,7.75,1.21621,,2.0,,,,,,,
171339,Entropy,2015.0,"Strategy Game, Family Game","Allen Chang, Alannah Kearney",Mikhail Yakovlev,Rule & Make,2.0,6.0,2.0,6.0,2.0,6.0,12.0,,15.0,15.0,15.0,"Bluffing, Card Game, Deduction, Science Fiction","Hand Management, Simultaneous Action Selection, Variable Player Powers",,,,"Components: Official Music Soundtrack, Crowdfunding: Kickstarter",,,7136.0,535.0,6.13833,1.49988,5.62163,1.8889,,,,,,,
171351,Random Encounters,2015.0,,"Jordan Basaldua, Joshua Garrett","Jordan Basaldua, Joshua Garrett",Regular People Gaming,1.0,4.0,1.0,4.0,1.0,4.0,14.0,,20.0,120.0,70.0,"Adventure, Card Game, Dice, Fantasy, Number","Cooperative Game, Dice Rolling, Role Playing, Trading, Variable Phase Order",1.0,,,Crowdfunding: Kickstarter,,,11086.0,105.0,6.92952,1.62931,5.55064,1.8,,,,,,,
